atp1 atp2 c12                    old_rc12               # >6  c12                    c12
CAH  CH3  1.4922176228398963e-05 2.3737898549049355e-05 # >6  2.2936907742668513e-05 1.4922176228398963e-05
CAH  CH2r 1.853615051555947e-05  2.797690277700976e-05  # >6  2.2936907742668513e-05 1.853615051555947e-05
CAH  S    6.503393009784176e-06  1.3363407780104616e-05 # >6  0.0                    6.503393009784176e-06
CAH  SM    6.503393009784176e-06  1.3363407780104616e-05 # >6  0.0                    6.503393009784176e-06
CAH  SH   7.030422589392208e-06  1.3363407780104616e-05 # >6  3.0296190868820765e-05 7.030422589392208e-06
CAH  H    1.3319957855440268e-06 2.44900153315381e-07   # >6  4.030347871778446e-06  1.3319957855440268e-06
CH2  CH2  1.110557678004124e-05  1.5438655320413708e-05 # >6  0.0001113988439841668  1.110557678004124e-05
CH2  CAH2 8.20374377950018e-06   1.5438655320413708e-05 # >6  2.827720357903463e-05  8.20374377950018e-06
CH2  CH3  5.556363657234973e-06  1.151967019963228e-05  # >6  0.00013386004153335797 5.556363657234973e-06
CH2  CH2r 7.596342311330096e-06  1.3576799670467695e-05 # Manual 1.7356754565546296e-06 7.596342311330096e-06
CH2  S    4.030347871778446e-06  6.485074913093783e-06  # >6  0.0                    4.030347871778446e-06
CH2  SM    4.030347871778446e-06  6.485074913093783e-06  # >6  0.0                    4.030347871778446e-06
CH2  SH   3.421320847663108e-06  6.485074913093783e-06  # >6  0.0                    3.421320847663108e-06
CH2  H    1.1292692029579082e-07 1.1884661956083523e-07 # 4-5 1.1292692029579082e-07 2.9137432184408464e-07
CAH2 CAH2 7.030422589392208e-06  1.5438655320413708e-05 # >6  0.0                    7.030422589392208e-06
CAH2 CH3  4.030347871778446e-06  1.151967019963228e-05  # >6  2.4604350727657302e-05 4.030347871778446e-06
CAH2 CH2r 6.012808612204707e-06  1.3576799670467695e-05 # >6  1.9908604884064596e-05 6.012808612204707e-06
CAH2 S    2.897745766558051e-06  6.485074913093783e-06  # >6  0.0                    2.897745766558051e-06
CAH2 SM    2.897745766558051e-06  6.485074913093783e-06  # >6  0.0                    2.897745766558051e-06
CAH2 SH   2.448580108078591e-06  6.485074913093783e-06  # >6  2.827720357903463e-05  2.448580108078591e-06
CAH2 H    7.703205086354507e-07  1.1884661956083523e-07 # >6  1.0161170406288952e-06 7.703205086354507e-07
CH3  CH3  3.7144078137182355e-06 8.5954896170802e-06    # >6  0.00017027339638628222 3.7144078137182355e-06
CH3  CH2r 4.737322988859966e-06  1.0130432432380583e-05 # Manual 1.7356754565546296e-06 4.737322988859966e-06
CH3  S    3.7144078137182355e-06 4.8388880163656295e-06 # >6  0.0                    3.7144078137182355e-06
CH3  SM    3.7144078137182355e-06 4.8388880163656295e-06 # >6  0.0                    3.7144078137182355e-06
CH3  SH   3.149574184402289e-06  4.8388880163656295e-06 # >6  0.0                    3.149574184402289e-06
CH3  H    1.0115434594394737e-07 8.86783099478706e-08   # 4-5 1.0115434594394737e-07 3.2228956345557457e-07
CH2r CH2r 6.012808612204707e-06  1.1939478242530793e-05 # Manual 1.7356754565546296e-06 6.012808612204707e-06
CH2r S    3.7144078137182355e-06 5.702994277398676e-06  # >6  0.0                    3.7144078137182355e-06
CH2r SM    3.7144078137182355e-06 5.702994277398676e-06  # >6  0.0                    3.7144078137182355e-06
CH2r SH   2.248809725327641e-06  5.702994277398676e-06  # 4-5 2.248809725327641e-06  3.421320847663108e-06
CH2r H    1.9297259151556835e-07 1.045140727480474e-07  # 4-5 1.9297259151556835e-07 5.801734210627211e-07
S    S    3.7144078137182355e-06 2.7240841741462863e-06 # >6  0.0                    3.7144078137182355e-06
S    SH   2.448580108078591e-06  2.7240841741462863e-06 # >6  0.0                    2.448580108078591e-06
S    SM   2.448580108078591e-06  2.7240841741462863e-06 # >6  0.0                    2.448580108078591e-06
S    H    1.3088002451771873e-08 4.992204405268893e-08  # 4-5 1.3088002451771873e-08 1.696526259956281e-08
SM    SM    3.7144078137182355e-06 2.7240841741462863e-06 # >6  0.0                    3.7144078137182355e-06
SM    SH   2.448580108078591e-06  2.7240841741462863e-06 # >6  0.0                    2.448580108078591e-06
SM    H    1.3088002451771873e-08 4.992204405268893e-08  # 4-5 1.3088002451771873e-08 1.696526259956281e-08
SH   SH   1.59011205135462e-06   2.7240841741462863e-06 # >6  0.0                    1.59011205135462e-06
SH   H    1.1471036561996625e-08 4.992204405268893e-08  # >6  1.1292692029579082e-07 1.1471036561996625e-08
H    H    8.772792870868534e-09  9.148801296419777e-10  # 4-5 8.772792870868534e-09  4.543781405690857e-08
