atp1 atp2 c12                    old_rc12               # >6  c12                    c12
OA   CH1  3.149574184402289e-06  5.735718724048164e-06  # >6  0.0                    3.149574184402289e-06
OA   CH1t 1.59011205135462e-06   5.735718724048164e-06  # >6  0.0                    1.59011205135462e-06
OA   CAH  2.248809725327641e-06  5.735718724048164e-06  # >6  1.4922176228398963e-05 2.248809725327641e-06
OA   CH2  1.1128214538294811e-06 2.7834640847572668e-06 # >6  6.729619205961802e-05  1.1128214538294811e-06
OA   CAH2 7.703205086354507e-07  2.7834640847572668e-06 # >6  1.110557678004124e-05  7.703205086354507e-07
OA   CH3  1.2178965067259558e-06 2.076902916961151e-06  # >6  0.0                    1.2178965067259558e-06
OA   CH2r 1.2178965067259558e-06 2.4477866423199905e-06 # Manual 6.381454827742098e-07  1.2178965067259558e-06
OA   S    1.2178965067259558e-06 1.1692063028111693e-06 # >6  0.0                    1.2178965067259558e-06
OA   SM    1.2178965067259558e-06 1.1692063028111693e-06 # >6  0.0                    1.2178965067259558e-06
OA   SH   5.801734210627211e-07  1.1692063028111693e-06 # >6  0.0                    5.801734210627211e-07
OA   H    8.014267939679831e-10  2.1427079643716717e-08 # >6  1.927540226755784e-08  8.014267939679831e-10
N    N    1.2884910181278791e-05 8.75284823952248e-07   # >6  0.0                    1.2884910181278791e-05
N    NT   1.59011205135462e-06   1.5074430911449656e-06 # Manual 7.013840414318058e-07  1.59011205135462e-06
N    NL   2.6644993987597274e-06 8.75284823952248e-07   # >6  0.0                    2.6644993987597274e-06
N    NR   5.27066068361103e-07   1.1482411765953813e-06 # 4-5 5.27066068361103e-07   6.381454827742098e-07
N    NZ   1.8933619871479337e-06 8.75284823952248e-07   # >6  0.0                    1.8933619871479337e-06
N    NE   1.59011205135462e-06   8.75284823952248e-07   # 4-5 1.59011205135462e-06   3.421320847663108e-06
N    C    4.339756224213911e-07  4.640669649427428e-06  # 4-5 4.339756224213911e-07  3.149574184402289e-06
N    CR   1.2178965067259558e-06 4.640669649427428e-06  # 4-5 1.2178965067259558e-06 4.37074965270138e-06
N    CZ   4.737322988859966e-06  1.508127506152659e-06  # >6  0.0                    4.737322988859966e-06
N    CH   2.897745766558051e-06  1.508127506152659e-06  # Manual 7.013840414318058e-07  2.897745766558051e-06
N    CH1  2.897745766558051e-06  7.574982932969631e-06  # 4-5 2.897745766558051e-06  3.473598766179243e-05
N    CH1t 8.855373008130008e-06  7.574982932969631e-06  # >6  7.648582556837471e-05  8.855373008130008e-06
N    CAH  1.2884910181278791e-05 7.574982932969631e-06  # 4-5 1.2884910181278791e-05 2.827720357903463e-05
N    CH2  2.448580108078591e-06  3.6760332838792072e-06 # 4-5 2.448580108078591e-06  9.554138546078327e-06
N    CAH2 8.20374377950018e-06   3.6760332838792072e-06 # >6  1.1964957655417957e-05 8.20374377950018e-06
N    CH3  4.737322988859966e-06  2.742900219889418e-06  # Manual 9.271725969950735e-07  4.737322988859966e-06
N    CH2r 6.503393009784176e-06  3.2327146659727425e-06 # Manual 8.454178454694858e-07  6.503393009784176e-06
N    S    2.064082678151929e-06  1.544133911550011e-06  # >6  2.248809725327641e-06  2.064082678151929e-06
N    SM    2.064082678151929e-06  1.544133911550011e-06  # >6  2.248809725327641e-06  2.064082678151929e-06
N    SH   1.0161170406288952e-06 1.544133911550011e-06  # 4-5 1.0161170406288952e-06 1.2178965067259558e-06
N    H    7.654462535149269e-09  2.8298068718749842e-08 # 4-5 7.654462535149269e-09  4.339756224213911e-07
NT   NT   7.013840414318058e-07  2.5961659689014112e-06 # >6  0.0                    7.013840414318058e-07
NT   NL   5.27066068361103e-07   1.5074430911449656e-06 # Manual 2.9137432184408464e-07 5.27066068361103e-07
NT   NR   5.801734210627211e-07  1.9775371185017886e-06 # >6  0.0                    5.801734210627211e-07
NT   NZ   5.27066068361103e-07   1.5074430911449656e-06 # >6  0.0                    5.27066068361103e-07
NT   NE   1.1128214538294811e-06 1.5074430911449656e-06 # >6  0.0                    1.1128214538294811e-06
NT   C    1.8933619871479337e-06 7.992307429401009e-06  # 4-5 1.8933619871479337e-06 2.064082678151929e-06
NT   CR   1.7356754565546296e-06 7.992307429401009e-06  # >6  1.8933619871479337e-06 1.7356754565546296e-06
NT   CZ   1.7356754565546296e-06 2.5973446899834983e-06 # >6  0.0                    1.7356754565546296e-06
NT   CH   1.3319957855440268e-06 2.5973446899834983e-06 # >6  0.0                    1.3319957855440268e-06
NT   CH1  7.030422589392208e-06  1.3045874183315057e-05 # >6  9.244222827735503e-05  7.030422589392208e-06
NT   CH1t 3.7144078137182355e-06 1.3045874183315057e-05 # >6  8.149958506507596e-05  3.7144078137182355e-06
NT   CAH  6.503393009784176e-06  1.3045874183315057e-05 # Manual 1.8933619871479337e-06 6.503393009784176e-06
NT   CH2  2.6644993987597274e-06 6.330980299168271e-06  # >6  5.539580762888729e-05  2.6644993987597274e-06
NT   CAH2 2.064082678151929e-06  6.330980299168271e-06  # >6  1.3869290966783295e-05 2.064082678151929e-06
NT   CH3  1.8933619871479337e-06 4.723909147084545e-06  # >6  2.1373642831810142e-05 1.8933619871479337e-06
NT   CH2r 2.248809725327641e-06  5.567483012968901e-06  # Manual 3.9332116172143173e-07 2.248809725327641e-06
NT   S    1.3319957855440268e-06 2.6593560553903825e-06 # >6  0.0                    1.3319957855440268e-06
NT   SM    1.3319957855440268e-06 2.6593560553903825e-06 # >6  0.0                    1.3319957855440268e-06
NT   SH   1.0161170406288952e-06 2.6593560553903825e-06 # >6  0.0                    1.0161170406288952e-06
NT   H    3.778004187152545e-09  4.873582520282809e-08  # >6  8.091373121174105e-08  3.778004187152545e-09
NL   NL   2.897745766558051e-06  2.5e-5                 # >6  0.0                    2.897745766558051e-06
NL   NR   2.631995597129722e-07  1.1482411765953813e-06 # >6  3.5618550662813837e-07 2.631995597129722e-07
NL   NZ   2.897745766558051e-06  2.5e-5                 # >6  0.0                    2.897745766558051e-06
NL   NE   9.271725969950735e-07  8.75284823952248e-07   # Manual 7.225302986991769e-08  9.271725969950735e-07
NL   C    1.3319957855440268e-06 4.640669649427428e-06  # >6  1.59011205135462e-06   1.3319957855440268e-06
NL   CR   2.448580108078591e-06  4.640669649427428e-06  # >6  2.6644993987597274e-06 2.448580108078591e-06
NL   CZ   2.448580108078591e-06  1.508127506152659e-06  # >6  0.0                    2.448580108078591e-06
NL   CH   2.064082678151929e-06  1.508127506152659e-06  # Manual 6.381454827742098e-07  2.064082678151929e-06
NL   CH1  1.4922176228398963e-05 7.574982932969631e-06  # >6  7.175626843968198e-05  1.4922176228398963e-05
NL   CH1t 4.030347871778446e-06  7.574982932969631e-06  # >6  6.309156472163408e-05  4.030347871778446e-06
NL   CAH  9.554138546078327e-06  7.574982932969631e-06  # >6  2.2936907742668513e-05 9.554138546078327e-06
NL   CH2  3.7144078137182355e-06 3.6760332838792072e-06 # >6  8.855373008130008e-06  3.7144078137182355e-06
NL   CAH2 4.030347871778446e-06  3.6760332838792072e-06 # >6  1.2884910181278791e-05 4.030347871778446e-06
NL   CH3  2.897745766558051e-06  2.742900219889418e-06  # Manual 1.3319957855440268e-06 2.897745766558051e-06
NL   CH2r 3.7144078137182355e-06 3.2327146659727425e-06 # Manual 2.9137432184408464e-07 3.7144078137182355e-06
NL   S    1.1128214538294811e-06 1.544133911550011e-06  # Manual 8.454178454694858e-07  1.1128214538294811e-06
NL   SM    1.1128214538294811e-06 1.544133911550011e-06  # Manual 8.454178454694858e-07  1.1128214538294811e-06
NL   SH   1.1292692029579082e-07 1.544133911550011e-06  # >6  0.0                    1.1292692029579082e-07
NL   H    4.365694982352848e-09  2.8298068718749842e-08 # 4-5 4.365694982352848e-09  8.772792870868534e-09
NR   NR   2.9137432184408464e-07 1.5063185874465423e-06 # >6  0.0                    2.9137432184408464e-07
NR   NZ   5.801734210627211e-07  1.1482411765953813e-06 # >6  0.0                    5.801734210627211e-07
NR   NE   1.0161170406288952e-06 1.1482411765953813e-06 # >6  0.0                    1.0161170406288952e-06
NR   C    2.064082678151929e-06  6.087856012844263e-06  # Manual 8.454178454694858e-07  2.064082678151929e-06
NR   CR   2.064082678151929e-06  6.087856012844263e-06  # >6  2.248809725327641e-06  2.064082678151929e-06
NR   CZ   1.4558184529108867e-06 1.9784349673759017e-06 # >6  0.0                    1.4558184529108867e-06
NR   CH   1.59011205135462e-06   1.9784349673759017e-06 # >6  8.855373008130008e-06  1.59011205135462e-06
NR   CH1  7.030422589392208e-06  9.937230804903689e-06  # >6  0.0                    7.030422589392208e-06
NR   CH1t 2.448580108078591e-06  9.937230804903689e-06  # >6  0.0                    2.448580108078591e-06
NR   CAH  6.503393009784176e-06  9.937230804903689e-06  # >6  2.4604350727657302e-05 6.503393009784176e-06
NR   CH2  2.448580108078591e-06  4.822399140917269e-06  # >6  0.0                    2.448580108078591e-06
NR   CAH2 1.8933619871479337e-06 4.822399140917269e-06  # >6  0.0                    1.8933619871479337e-06
NR   CH3  2.064082678151929e-06  3.598269831239962e-06  # >6  0.0                    2.064082678151929e-06
NR   CH2r 2.064082678151929e-06  4.2408322297796346e-06 # >6  0.0                    2.064082678151929e-06
NR   S    1.8933619871479337e-06 2.0256699201216162e-06 # >6  0.0                    1.8933619871479337e-06
NR   SM    1.8933619871479337e-06 2.0256699201216162e-06 # >6  0.0                    1.8933619871479337e-06
NR   SH   1.1128214538294811e-06 2.0256699201216162e-06 # >6  0.0                    1.1128214538294811e-06
NR   H    1.1109248026469242e-09 3.7122782015431085e-08 # >6  1.003911895429072e-08  1.1109248026469242e-09
NZ   NZ   6.381454827742098e-07  8.75284823952248e-07   # >6  0.0                    6.381454827742098e-07
NZ   NE   9.271725969950735e-07  8.75284823952248e-07   # >6  0.0                    9.271725969950735e-07
NZ   C    1.4558184529108867e-06 4.640669649427428e-06  # >6  0.0                    1.4558184529108867e-06
NZ   CR   1.4558184529108867e-06 4.640669649427428e-06  # >6  1.7356754565546296e-06 1.4558184529108867e-06
NZ   CZ   1.3319957855440268e-06 1.508127506152659e-06  # >6  0.0                    1.3319957855440268e-06
NZ   CH   1.4558184529108867e-06 1.508127506152659e-06  # >6  0.0                    1.4558184529108867e-06
NZ   CH1  7.596342311330096e-06  7.574982932969631e-06  # >6  0.0                    7.596342311330096e-06
NZ   CH1t 3.7144078137182355e-06 7.574982932969631e-06  # >6  0.0                    3.7144078137182355e-06
NZ   CAH  4.37074965270138e-06   7.574982932969631e-06  # >6  0.0                    4.37074965270138e-06
NZ   CH2  2.448580108078591e-06  3.6760332838792072e-06 # Manual 1.1128214538294811e-06 2.448580108078591e-06
NZ   CAH2 1.8933619871479337e-06 3.6760332838792072e-06 # >6  0.0                    1.8933619871479337e-06
NZ   CH3  1.7356754565546296e-06 2.742900219889418e-06  # >6  0.0                    1.7356754565546296e-06
NZ   CH2r 2.064082678151929e-06  3.2327146659727425e-06 # >6  0.0                    2.064082678151929e-06
NZ   S    1.3319957855440268e-06 1.544133911550011e-06  # >6  0.0                    1.3319957855440268e-06
NZ   SM    1.3319957855440268e-06 1.544133911550011e-06  # >6  0.0                    1.3319957855440268e-06
NZ   SH   1.0161170406288952e-06 1.544133911550011e-06  # >6  0.0                    1.0161170406288952e-06
NZ   H    5.1110687858211906e-08 2.8298068718749842e-08 # >6  0.0                    5.1110687858211906e-08
NE   NE   1.59011205135462e-06   8.75284823952248e-07   # >6  0.0                    1.59011205135462e-06
NE   C    1.59011205135462e-06   4.640669649427428e-06  # >6  7.596342311330096e-06  1.59011205135462e-06
NE   CR   2.248809725327641e-06  4.640669649427428e-06  # >6  2.248809725327641e-06  2.248809725327641e-06
NE   CZ   1.7356754565546296e-06 1.508127506152659e-06  # >6  0.0                    1.7356754565546296e-06
NE   CH   1.8933619871479337e-06 1.508127506152659e-06  # >6  0.0                    1.8933619871479337e-06
NE   CH1  1.110557678004124e-05  7.574982932969631e-06  # >6  0.0                    1.110557678004124e-05
NE   CH1t 6.503393009784176e-06  7.574982932969631e-06  # >6  0.0                    6.503393009784176e-06
NE   CAH  7.030422589392208e-06  7.574982932969631e-06  # 4-5 7.030422589392208e-06  1.0303119972742315e-05
NE   CH2  4.030347871778446e-06  3.6760332838792072e-06 # >6  0.0                    4.030347871778446e-06
NE   CAH2 3.149574184402289e-06  3.6760332838792072e-06 # >6  0.0                    3.149574184402289e-06
NE   CH3  2.448580108078591e-06  2.742900219889418e-06  # >6  0.0                    2.448580108078591e-06
NE   CH2r 3.421320847663108e-06  3.2327146659727425e-06 # >6  0.0                    3.421320847663108e-06
NE   S    2.064082678151929e-06  1.544133911550011e-06  # >6  0.0                    2.064082678151929e-06
NE   SM    2.064082678151929e-06  1.544133911550011e-06  # >6  0.0                    2.064082678151929e-06
NE   SH   1.3319957855440268e-06 1.544133911550011e-06  # >6  0.0                    1.3319957855440268e-06
NE   H    2.4782805153887164e-08 2.8298068718749842e-08 # >6  0.0                    2.4782805153887164e-08
C    C    2.4604350727657302e-05 2.4604350727657302e-05 # Manual 2.448580108078591e-06  2.4604350727657302e-05
C    CR   2.064082678151929e-06  2.4604350727657302e-05 # 4-5 2.064082678151929e-06  8.20374377950018e-06
C    CZ   6.503393009784176e-06  7.995936127016803e-06  # >6  0.0                    6.503393009784176e-06
C    CH   4.37074965270138e-06   7.995936127016803e-06  # Manual 1.0161170406288952e-06 4.37074965270138e-06
C    CH1  5.556363657234973e-06  4.0161776406945595e-05 # 4-5 5.556363657234973e-06  1.9908604884064596e-05
C    CH1t 1.6047872836151582e-05 4.0161776406945595e-05 # >6  4.2522323000155225e-05 1.6047872836151582e-05
C    CAH  2.2936907742668513e-05 4.0161776406945595e-05 # 4-5 2.2936907742668513e-05 2.4604350727657302e-05
C    CH2  3.421320847663108e-06  1.948994844187309e-05  # 4-5 3.421320847663108e-06  1.110557678004124e-05
C    CAH2 7.596342311330096e-06  1.948994844187309e-05  # >6  2.2936907742668513e-05 7.596342311330096e-06
C    CH3  6.012808612204707e-06  1.4542573404132365e-05 # Manual 2.064082678151929e-06  6.012808612204707e-06
C    CH2r 1.7356754565546296e-06 1.713951896012432e-05  # 4-5 1.7356754565546296e-06 6.012808612204707e-06
C    S    4.030347871778446e-06  8.186838366082229e-06  # >6  4.37074965270138e-06   4.030347871778446e-06
C    SM    4.030347871778446e-06  8.186838366082229e-06  # >6  4.37074965270138e-06   4.030347871778446e-06
C    SH   4.737322988859966e-06  8.186838366082229e-06  # Manual 2.897745766558051e-06  4.737322988859966e-06
C    H    1.0115434594394737e-07 1.5003343488528082e-07 # Manual 3.578500073173326e-08  1.0115434594394737e-07
CR   CR   3.149574184402289e-06  2.4604350727657302e-05 # >6  4.737322988859966e-06  3.149574184402289e-06
CR   CZ   2.448580108078591e-06  7.995936127016803e-06  # >6  2.6644993987597274e-06 2.448580108078591e-06
CR   CH   2.6644993987597274e-06 7.995936127016803e-06  # >6  3.421320847663108e-06  2.6644993987597274e-06
CR   CH1  1.853615051555947e-05  4.0161776406945595e-05 # >6  2.1373642831810142e-05 1.853615051555947e-05
CR   CH1t 1.3869290966783295e-05 4.0161776406945595e-05 # >6  1.6047872836151582e-05 1.3869290966783295e-05
CR   CAH  1.4922176228398963e-05 4.0161776406945595e-05 # >6  2.1373642831810142e-05 1.4922176228398963e-05
CR   CH2  4.737322988859966e-06  1.948994844187309e-05  # >6  5.131884534481803e-06  4.737322988859966e-06
CR   CAH2 3.149574184402289e-06  1.948994844187309e-05  # >6  4.737322988859966e-06  3.149574184402289e-06
CR   CH3  3.7144078137182355e-06 1.4542573404132365e-05 # >6  4.030347871778446e-06  3.7144078137182355e-06
CR   CH2r 3.421320847663108e-06  1.713951896012432e-05  # >6  3.421320847663108e-06  3.421320847663108e-06
CR   S    0.0                    0.0                    # >6  0.0                    0.0
CR   SM   4.37074965270138e-06   8.186838366082229e-06  # >6  5.131884534481803e-06  4.37074965270138e-06
CR   SH   3.7144078137182355e-06 8.186838366082229e-06  # >6  4.030347871778446e-06  3.7144078137182355e-06
CR   H    8.091373121174105e-08  1.5003343488528082e-07 # >6  9.05167362258012e-08   8.091373121174105e-08
CZ   CZ   1.8933619871479337e-06 2.598523946232985e-06  # >6  0.0                    1.8933619871479337e-06
CZ   CH   2.064082678151929e-06  2.598523946232985e-06  # >6  0.0                    2.064082678151929e-06
CZ   CH1  1.1964957655417957e-05 1.3051797320401952e-05 # >6  0.0                    1.1964957655417957e-05
CZ   CH1t 1.2884910181278791e-05 1.3051797320401952e-05 # >6  0.0                    1.2884910181278791e-05
CZ   CAH  1.0303119972742315e-05 1.3051797320401952e-05 # >6  5.187980929466614e-05  1.0303119972742315e-05
CZ   CH2  5.131884534481803e-06  6.333854714763538e-06  # Manual 2.448580108078591e-06  5.131884534481803e-06
CZ   CAH2 3.7144078137182355e-06 6.333854714763538e-06  # >6  0.0                    3.7144078137182355e-06
CZ   CH3  2.448580108078591e-06  4.726053914163474e-06  # >6  0.0                    2.448580108078591e-06
CZ   CH2r 3.421320847663108e-06  5.570010782641626e-06  # >6  0.0                    3.421320847663108e-06
CZ   S    2.448580108078591e-06  2.6605634662742835e-06 # >6  0.0                    2.448580108078591e-06
CZ   SM    2.448580108078591e-06  2.6605634662742835e-06 # >6  0.0                    2.448580108078591e-06
CZ   SH   2.448580108078591e-06  2.6605634662742835e-06 # >6  0.0                    2.448580108078591e-06
CZ   H    6.444980961093803e-08  4.8757952426321354e-08 # >6  0.0                    6.444980961093803e-08
CH   CH   2.6644993987597274e-06 2.598523946232985e-06  # >6  1.2884910181278791e-05 2.6644993987597274e-06
CH   CH1  1.110557678004124e-05  1.3051797320401952e-05 # >6  0.0                    1.110557678004124e-05
CH   CH1t 7.596342311330096e-06  1.3051797320401952e-05 # >6  0.0                    7.596342311330096e-06
CH   CAH  9.554138546078327e-06  1.3051797320401952e-05 # >6  2.1373642831810142e-05 9.554138546078327e-06
CH   CH2  3.7144078137182355e-06 6.333854714763538e-06  # >6  1.6047872836151582e-05 3.7144078137182355e-06
CH   CAH2 2.6644993987597274e-06 6.333854714763538e-06  # >6  2.4604350727657302e-05 2.6644993987597274e-06
CH   CH3  3.149574184402289e-06  4.726053914163474e-06  # >6  0.0                    3.149574184402289e-06
CH   CH2r 2.064082678151929e-06  5.570010782641626e-06  # 4-5 2.064082678151929e-06  3.421320847663108e-06
CH   S    3.421320847663108e-06  2.6605634662742835e-06 # >6  0.0                    3.421320847663108e-06
